"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140303","intramembrane lipid transporter activity","34/10517","48/28409",0.708333333333333,1.91338230167031,4.85567110831614,2.01042915832156e-06,1.33586384174768e-05,5.34968592489521e-06,"497097/245860/27403/320091/70310/75909/238257/218335/22334/50769/105722/27410/11307/54670/50771/11305/11981/76295/54667/11303/76574/381560/18669/18670/213948/11980/231287/11982/233724/50770/69981/22038/235527/320940",34
"GO:0001046","core promoter sequence-specific DNA binding","35/10517","50/28409",0.7,1.89087192165066,4.83383296204751,2.21340771110543e-06,1.46330843123081e-05,5.86005869287881e-06,"20846/18986/15078/237336/20587/18148/20020/21429/21340/14281/83602/21847/17869/239528/21374/15361/13653/14815/66556/19697/18508/56461/12608/51788/236511/433759/22642/19712/14056/108655/19016/20174/68790/319758/11835",35
"GO:0005342","organic acid transmembrane transporter activity","105/10517","197/28409",0.532994923857868,1.43975019415025,4.74852837206859,2.2445267444426e-06,1.47642487863084e-05,5.91258565846292e-06,"71781/70456/72472/20509/73822/216225/103098/216441/55963/14799/216867/69309/237831/83429/215113/20500/52466/104681/26941/14813/72055/27376/80879/328059/23985/217593/19300/214663/14057/268706/50934/239273/20512/69906/57274/26874/105727/67760/14811/17250/13358/55951/108114/240332/13521/236293/94280/14810/26569/78830/72401/20511/26458/54338/16592/241919/26570/229517/20501/208890/242443/14664/20525/76574/14807/14077/212555/18669/80979/330064/231290/100561/243328/11987/50799/26357/94282/21366/67582/243616/14812/20514/14809/72961/14814/140919/101488/22228/68267/18408/11988/26457/76775/330836/234788/20539/234967/110637/235504/76257/171429/102680/102857/11666/20502",105
"GO:0000217","DNA secondary structure binding","29/10517","39/28409",0.743589743589744,2.00861852483037,4.8324391917071,2.31656543515611e-06,1.50864883314396e-05,6.04163177118484e-06,"22592/15353/15364/19364/67241/104806/19363/22632/74335/15361/111241/72836/17685/17688/17283/226026/18508/269582/57434/11991/231506/15289/58186/19362/12144/22427/15354/11614/18994",29
"GO:0004712","protein serine/threonine/tyrosine kinase activity","29/10517","39/28409",0.743589743589744,2.00861852483037,4.8324391917071,2.31656543515611e-06,1.50864883314396e-05,6.04163177118484e-06,"12747/226419/213452/20393/69181/26420/12750/26397/26399/11651/26401/51789/13548/20112/26409/21754/108079/230661/20111/27273/109880/18752/13549/26400/18747/102414/26395/22137/11481",29
"GO:0003727","single-stranded RNA binding","60/10517","100/28409",0.6,1.62074736141485,4.76748614764778,2.51336522815467e-06,1.62871043745271e-05,6.52243816373646e-06,"212442/170771/51810/110957/12696/70248/103406/56516/22778/76626/21833/107817/30951/12418/192170/338371/104721/20238/54196/22763/18458/13992/239528/93686/494448/52609/51812/67543/20630/74142/67869/67710/225929/20744/56878/71586/13392/14359/230073/56031/230721/214150/236511/76850/20218/231207/50926/56361/17690/72587/15289/232164/98758/22185/67070/16201/56403/207181/14265/75064",60
"GO:0004112","cyclic-nucleotide phosphodiesterase activity","22/10517","27/28409",0.814814814814815,2.20101493525474,4.78680365752767,2.89387239930433e-06,1.86604875403417e-05,7.47289839177369e-06,"29863/18605/12799/218461/238871/18574/23984/18585/225600/241489/18573/18583/242202/18578/18575/78600/54611/18584/207728/18576/110385/18577",22
"GO:0005080","protein kinase C binding","41/10517","62/28409",0.661290322580645,1.78630757575293,4.7519468524371,3.09075723336086e-06,1.98323589140655e-05,7.94219350987466e-06,"16367/18611/23797/17118/114774/18806/21973/15184/16416/20382/79221/18760/59036/11651/18693/54003/56233/11512/67451/240025/27360/16410/20779/20971/56376/63873/15507/22628/101540/629378/11652/109042/18751/11502/320795/19089/117149/235180/23999/12361/192176",41
"GO:0043548","phosphatidylinositol 3-kinase binding","31/10517","43/28409",0.720930232558139,1.94740962030467,4.76661187653335,3.12658866863404e-06,1.99644125231315e-05,7.99507654418358e-06,"16367/14360/22433/56208/12313/18708/239463/14083/12488/12314/18596/16452/83490/227753/69601/22174/11928/13131/18595/19249/14255/17295/12315/26362/16001/12721/16337/384783/75141/13430/208994",31
"GO:0042974","nuclear retinoic acid receptor binding","26/10517","34/28409",0.764705882352941,2.06565840180324,4.76679372106089,3.21077096523083e-06,2.04024232693551e-05,8.1704851338015e-06,"17978/214855/15468/20185/19014/170930/17977/20184/18193/218772/19411/15361/111241/20182/20181/228790/56406/321000/20602/19016/60595/22260/75613/13017/320165/234594",26
