"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048663","neuron fate commitment","57/10656","91/28928",0.626373626373626,1.7004257004257,5.11050115713316,5.07830242001565e-07,2.17290191243863e-06,6.50705600801123e-07,"260298/16147/14633/18933/21808/19130/53404/17172/103551/20682/15902/17933/15375/69952/58208/16450/14634/12159/22408/83383/12667/50914/12394/13388/18131/110147/225207/17128/74168/16814/24069/19213/18128/21375/13392/18508/54485/140489/20674/16911/21812/18028/18027/242620/18509/69743/19664/116810/14842/11921/14461/18213/20664/211323/14232/18032/12387",57
"GO:0007413","axonal fasciculation","22/10656","26/28928",0.846153846153846,2.2970662970663,5.05289950526671,7.49561177680799e-07,3.13540049883369e-06,9.38939145695717e-07,"13838/68585/12569/22418/20356/13845/13837/17968/94185/72832/229715/12368/12801/13844/20346/232906/269878/12367/18186/17967/107934/16728",22
"GO:0106030","neuron projection fasciculation","22/10656","26/28928",0.846153846153846,2.2970662970663,5.05289950526671,7.49561177680799e-07,3.13540049883369e-06,9.38939145695717e-07,"13838/68585/12569/22418/20356/13845/13837/17968/94185/72832/229715/12368/12801/13844/20346/232906/269878/12367/18186/17967/107934/16728",22
"GO:0071542","dopaminergic neuron differentiation","34/10656","47/28928",0.723404255319149,1.96383617660213,5.0501211782984,7.97572344523464e-07,3.31924124028925e-06,9.93992804324194e-07,"13798/110648/22416/22412/104318/15902/15375/15251/22095/22418/239405/22408/13544/56637/21844/22339/18504/18742/227526/16917/18227/20319/11924/18507/242620/13799/19353/22413/319757/20315/20377/20187/74840/12387",34
"GO:0021872","forebrain generation of neurons","44/10656","66/28928",0.666666666666667,1.80980980980981,5.02976333139675,8.24389428696986e-07,3.41346300495307e-06,1.022208817957e-06,"18187/12316/19130/21907/17172/213326/18293/22416/22187/58208/14634/16323/67263/328365/56335/13190/58234/15205/14682/74168/21375/13392/18508/12010/20674/70762/18072/210529/16842/19218/15208/20346/16873/68169/14461/18844/74244/14183/20664/14182/18032/244667/18186/18994",44
"GO:0021575","hindbrain morphogenesis","43/10656","65/28928",0.661538461538462,1.7958881958882,4.90561846213986,1.50734552952747e-06,6.01282798782831e-06,1.80062469729366e-06,"20720/14633/19130/19156/18541/14632/67269/14451/319953/22408/72393/12846/15205/13388/12411/18189/67453/20743/16825/16917/73668/14466/73750/13131/69539/22241/16873/19247/20239/114142/319757/14489/14804/22421/11941/76484/50768/12286/18032/26395/235439/19883/94190",43
"GO:0038179","neurotrophin signaling pathway","33/10656","46/28928",0.717391304347826,1.94751273012143,4.91140895786351,1.58061589989276e-06,6.27067157372502e-06,1.87783953359768e-06,"83767/74747/320150/15114/18212/24064/12488/21770/225849/319740/56392/14585/107746/12064/20779/76829/24063/20661/54673/19268/50791/22241/19247/231876/67605/78405/20430/18213/12721/12367/12927/11606/81907",33
"GO:0140058","neuron projection arborization","28/10656","37/28928",0.756756756756757,2.05437870302735,4.90085620910167,1.70709437600439e-06,6.72753648602573e-06,2.01465406514271e-06,"74053/13543/13385/218194/22418/13544/71751/17356/19877/68475/171171/14725/214230/192167/17454/80883/76574/11426/13542/20346/77045/19242/11441/14366/212139/18186/270163/21983",28
"GO:0021846","cell proliferation in forebrain","29/10656","39/28928",0.743589743589744,2.01863401863402,4.86116078080375,2.06118670918966e-06,8.02145160992976e-06,2.4021348866496e-06,"18993/16560/15364/22416/18222/14634/13190/22422/20473/225523/13797/24136/18508/100182/18028/21335/16873/20602/22421/18223/14183/57752/320165/14182/320191/18536/18032/244667/330938",29
"GO:0099637","neurotransmitter receptor transport","29/10656","39/28928",0.743589743589744,2.01863401863402,4.86116078080375,2.06118670918966e-06,8.02145160992976e-06,2.4021348866496e-06,"11776/74053/216831/22318/54377/140723/105782/12300/14811/107589/12322/17919/246317/20908/13821/76742/65945/18196/26414/27418/19349/243547/81904/54376/56216/20909/17274/65114/19341",29
"GO:0021952","central nervous system projection neuron axonogenesis","25/10656","32/28928",0.78125,2.12087087087087,4.84470645787676,2.25725890432504e-06,8.74286653819735e-06,2.61817258795496e-06,"13838/14633/21907/72320/110532/18080/105689/13845/268882/13176/24136/18227/13175/11444/99512/18028/13844/70433/20563/77630/243743/14790/80297/244152/270190",25
"GO:1902473","regulation of protein localization to synapse","26/10656","34/28928",0.764705882352941,2.07595831125243,4.79387636538141,2.88359478530831e-06,1.08474929265511e-05,3.24843213655954e-06,"216831/216856/17762/23888/13383/545156/56637/12322/226016/56508/192167/208188/665113/26422/18762/50791/15461/74513/69091/26395/81907/56808/13138/14735/245537/245666",26
"GO:0099527","postsynapse to nucleus signaling pathway","15/10656","16/28928",0.9375,2.54504504504505,4.72082421967382,3.24916524501447e-06,1.21042976478089e-05,3.62479973352941e-06,"77531/22416/20848/16647/432763/16646/19697/16452/11308/56876/15194/29867/50849/211323/382056",15
"GO:0060563","neuroepithelial cell differentiation","35/10656","51/28928",0.686274509803922,1.86303951009833,4.71080893695883,3.98696658811356e-06,1.46442626702733e-05,4.38542747125442e-06,"17172/18023/74370/20666/20677/17755/71228/12159/15205/17356/13388/22154/12558/17126/225876/18128/12156/16449/53626/12608/14173/68259/16842/22417/14184/666279/231580/80752/13796/14461/21803/22411/233726/234740/12387",35
"GO:0043525","positive regulation of neuron apoptotic process","61/10656","104/28928",0.586538461538462,1.59228459228459,4.62089117319435,4.90358023605098e-06,1.76929401673848e-05,5.2983962118362e-06,"12633/208727/17970/21808/17863/56484/216150/17172/114774/13198/18015/12569/18673/14824/18105/19766/16531/14528/73181/15558/56637/11820/224619/13653/15183/14815/72930/58801/26403/14102/18742/11909/12064/12125/17865/50754/12368/13841/16476/100102/19268/12371/56717/11603/20817/14184/12123/12366/21937/22192/170770/14809/12028/20450/26400/12367/112405/23988/23821/11920/12387",61
"GO:0051580","regulation of neurotransmitter uptake","18/10656","21/28928",0.857142857142857,2.32689832689833,4.64516925648119,5.69432176300598e-06,2.03106795889433e-05,6.08231457156293e-06,"260298/18627/14580/16416/14573/13490/11820/50873/14251/30931/69908/269642/18125/20617/65106/110877/16412/14758",18
"GO:0008045","motor neuron axon guidance","25/10656","33/28928",0.757575757575758,2.05660205660206,4.63780871831421,6.0382888135306e-06,2.14206903216837e-05,6.4147226736539e-06,"13838/12767/16872/13654/18208/18121/13866/18612/170758/105689/11658/18209/225743/20562/16574/108699/16911/20346/20563/19353/243743/108655/20315/18186/20350",25
"GO:0021533","cell differentiation in hindbrain","25/10656","33/28928",0.757575757575758,2.05660205660206,4.63780871831421,6.0382888135306e-06,2.14206903216837e-05,6.4147226736539e-06,"19130/19156/18121/67269/319953/72393/18189/67453/16825/73668/22241/16873/20239/114142/14489/14804/14461/22421/11941/76484/12286/18032/235439/19883/94190",25
"GO:0048681","negative regulation of axon regeneration","14/10656","15/28928",0.933333333333333,2.53373373373373,4.53737612606931,8.2952624538245e-06,2.86954634513781e-05,8.59325433813065e-06,"13838/21960/84035/237847/65079/19280/19211/76893/269473/66368/244058/233781/101490/18007",14
"GO:0098970","postsynaptic neurotransmitter receptor diffusion trapping","14/10656","15/28928",0.933333333333333,2.53373373373373,4.53737612606931,8.2952624538245e-06,2.86954634513781e-05,8.59325433813065e-06,"380702/13385/16416/54377/140723/268566/12300/12322/57138/81904/54376/70546/16412/19684",14
"GO:0099628","neurotransmitter receptor diffusion trapping","14/10656","15/28928",0.933333333333333,2.53373373373373,4.53737612606931,8.2952624538245e-06,2.86954634513781e-05,8.59325433813065e-06,"380702/13385/16416/54377/140723/268566/12300/12322/57138/81904/54376/70546/16412/19684",14
"GO:0150011","regulation of neuron projection arborization","14/10656","15/28928",0.933333333333333,2.53373373373373,4.53737612606931,8.2952624538245e-06,2.86954634513781e-05,8.59325433813065e-06,"74053/13543/13385/22418/13544/71751/171171/17454/80883/76574/11426/13542/14366/270163",14
"GO:0048791","calcium ion-regulated exocytosis of neurotransmitter","17/10656","20/28928",0.85,2.30750750750751,4.4668968768903,1.33314379537766e-05,4.48589507677773e-05,1.34336346908061e-05,"116837/226407/20979/13447/27062/116838/54526/54525/20910/20614/20912/22249/56216/19339/382018/12286/208898",17
"GO:0048841","regulation of axon extension involved in axon guidance","15/10656","17/28928",0.882352941176471,2.39533651298357,4.39468370290866,1.8108204120542e-05,5.91070586820287e-05,1.77004281284432e-05,"12168/22416/22418/20356/13508/22339/20562/20346/243743/20315/269878/18186/20187/20350/15185",15
"GO:1902692","regulation of neuroblast proliferation","41/10656","66/28928",0.621212121212121,1.68641368641369,4.26334473634405,2.62565938424855e-05,8.32116386535e-05,2.49188787647132e-05,"12227/12316/19130/21907/12484/18015/15251/14634/15904/12950/13003/14365/13190/22339/20473/12385/18128/18508/12064/329559/20674/14173/12032/73940/18129/242620/66993/14184/16873/319757/19242/14461/21803/11595/22341/330790/58198/244667/16412/57810/12387",41
"GO:0048011","neurotrophin TRK receptor signaling pathway","24/10656","33/28928",0.727272727272727,1.97433797433797,4.27672189707952,2.98539407096628e-05,9.31670951597973e-05,2.79001782288521e-05,"83767/74747/320150/15114/24064/12488/21770/225849/319740/20779/76829/24063/20661/54673/19268/22241/19247/231876/67605/20430/12367/12927/11606/81907",24
